Model,Accuracy,Precision,Recall,F1-Score,AUC,CV_Accuracy,Overall_Score
SVM,0.6216216216216216,0.6249062265566391,0.6216216216216216,0.6191176470588236,0.6661796932067203,0.6398012857977792,0.6306893620130852
Random Forest,0.5945945945945946,0.5971492873218306,0.5945945945945946,0.5919117647058822,0.6756756756756757,0.6497954412624197,0.6107851833785155
Logistic Regression,0.5540540540540541,0.554093567251462,0.5540540540540541,0.5539726027397261,0.633308984660336,0.6158386908240795,0.5698966525519265
Gradient Boosting,0.5405405405405406,0.5405405405405406,0.5405405405405406,0.5405405405405406,0.6318480642804967,0.6499707773232029,0.5588020452885318
Neural Network,0.527027027027027,0.5272058823529412,0.527027027027027,0.5262483994878361,0.5821767713659606,0.554646405610754,0.5379370214521584
